{'Final state': (True, True, 0, 0, 0, True, True), 'time': 1.72, 'success': 'True'}
{'Final state': (True, True, 0, 0, 0, True, True), 'time': 1.83, 'success': 'True'}
{'Final state': (True, True, 0, 0, 0, True, True), 'time': 1.81, 'success': 'True'}
{'Final state': (True, True, 0, 0, 2, True, True), 'time': 3.11, 'success': 'True'}
{'Final state': (True, True, 0, 0, 0, False, True), 'time': 70.0, 'success': 'False'}
{'Final state': (True, True, 0, 0, 0, True, True), 'time': 1.8, 'success': 'True'}
{'Final state': (True, True, 0, 10, 8, True, True), 'time': 1.81, 'success': 'True'}
{'Final state': (True, True, 0, 6, 4, True, True), 'time': 1.81, 'success': 'True'}
{'Final state': (True, True, 0, 12, 0, True, True), 'time': 1.8, 'success': 'True'}
