{'Final state': (True, True, 0, 0, 0, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (True, True, 0, 0, 0, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (False, True, 90, 12, 0, False, False), 'time': 45.0, 'success': 'False'}
{'Final state': (True, True, 0, 0, 0, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (True, True, 0, 4, 4, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (True, True, 0, 0, 0, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (True, True, 0, 0, 0, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 45.0, 'success': 'False'}
{'Final state': (False, True, 90, 16, 0, False, False), 'time': 45.0, 'success': 'False'}
